name_muscle;angles_1;angles_2;emg_muscle_1_(µV);emg_muscle_2_(µV);emg_muscle_3_(µV);emg_muscle_4_(µV)
;-178.56;162.21;-4.617;-3.766;-1.281;0.374
;-178.56;162.21;-0.236;-3.793;0.341;2.753
;-178.56;162.2;0.548;-3.608;-0.136;-1.3
;-178.57;162.2;-1.247;-0.963;-1.956;-2.657
;-178.57;162.2;2.518;2.462;-2.381;0.158
;-178.57;162.19;0.891;2.088;-0.939;-1.894
;-178.57;162.19;-1.776;5.198;-1.85;-4.567
;-178.57;162.18;-0.004;5.35;3.325;-4.113
;-178.57;162.18;0.03;1.564;4.673;-0.183
;-178.57;162.18;2.162;2.603;1.432;0.008
;-178.57;162.17;1.858;3.966;2.004;0.905
;-178.57;162.17;-1.918;6.028;-0.646;1.307
;-178.57;162.16;-2.376;3.325;-0.45;-1.348
;-178.57;162.16;-3.058;0.08;0.058;2.854
;-178.57;162.15;-0.337;-0.197;0.444;2.344
;-178.57;162.15;1.826;-3.068;0.496;1.455
;-178.57;162.15;1.791;-0.348;-1.543;2.901
;-178.57;162.14;0.478;-0.377;-2.275;3.081
;-178.58;162.14;-2.203;-6.38;-0.411;0.504
;-178.57;162.13;2.188;-4.07;4.231;-7.809
;-178.57;162.13;3.024;3.117;3.681;-4.747
;-178.57;162.12;0.832;-1.658;-1.376;-0.485
;-178.57;162.12;2.067;-5.901;-1.678;-0.572
;-178.57;162.12;-0.499;-2.176;-0.57;0.523
;-178.57;162.11;1.076;-2.821;-1.114;0.594
;-178.57;162.11;4.361;-2.42;0.462;1.509
;-178.57;162.1;0.028;-6.169;-0.696;1.697
;-178.57;162.1;-3.022;-5.459;1.599;2.565
;-178.56;162.1;-1.11;2.581;2.798;-0.379
;-178.56;162.09;-1.073;4.002;-0.384;0.599
;-178.56;162.09;-2.365;2.008;0.267;0.588
;-178.56;162.08;-2.083;1.232;-2.509;-1.416
;-178.56;162.08;-0.66;4.526;0.99;1.644
;-178.56;162.08;-2.994;1.546;1.379;-0.519
;-178.56;162.07;-5.182;-2.129;-4.313;-0.2
;-178.55;162.07;-0.798;1.852;-0.962;0.171
;-178.55;162.06;-0.448;3.583;-0.336;-1.872
